1784283688.842012 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2803:2874, ack 2163, win 504, options [nop,nop,TS val 1737449664 ecr 3834343571], length 71
1784283688.842221 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2163:2216, ack 2874, win 678, options [nop,nop,TS val 3834343574 ecr 1737449664], length 53
1784283688.844166 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2874:2945, ack 2216, win 504, options [nop,nop,TS val 1737449667 ecr 3834343574], length 71
1784283688.844352 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2216:2269, ack 2945, win 678, options [nop,nop,TS val 3834343576 ecr 1737449667], length 53
1784283688.846255 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 2945:3016, ack 2269, win 504, options [nop,nop,TS val 1737449669 ecr 3834343576], length 71
1784283688.846416 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2269:2322, ack 3016, win 678, options [nop,nop,TS val 3834343578 ecr 1737449669], length 53
1784283688.848393 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3016:3087, ack 2322, win 504, options [nop,nop,TS val 1737449671 ecr 3834343578], length 71
1784283688.848581 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2322:2375, ack 3087, win 678, options [nop,nop,TS val 3834343580 ecr 1737449671], length 53
1784283688.850432 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3087:3158, ack 2375, win 504, options [nop,nop,TS val 1737449673 ecr 3834343580], length 71
1784283688.850611 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2375:2428, ack 3158, win 678, options [nop,nop,TS val 3834343582 ecr 1737449673], length 53
1784283688.852552 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3158:3229, ack 2428, win 504, options [nop,nop,TS val 1737449675 ecr 3834343582], length 71
1784283688.852720 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2428:2481, ack 3229, win 678, options [nop,nop,TS val 3834343584 ecr 1737449675], length 53
1784283688.854655 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3229:3300, ack 2481, win 504, options [nop,nop,TS val 1737449677 ecr 3834343584], length 71
1784283688.854849 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2481:2534, ack 3300, win 678, options [nop,nop,TS val 3834343586 ecr 1737449677], length 53
1784283688.856764 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3300:3371, ack 2534, win 504, options [nop,nop,TS val 1737449679 ecr 3834343586], length 71
1784283688.856911 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2534:2587, ack 3371, win 678, options [nop,nop,TS val 3834343588 ecr 1737449679], length 53
1784283688.858864 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3371:3442, ack 2587, win 504, options [nop,nop,TS val 1737449681 ecr 3834343588], length 71
1784283688.859036 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2587:2640, ack 3442, win 678, options [nop,nop,TS val 3834343590 ecr 1737449681], length 53
1784283688.860956 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3442:3513, ack 2640, win 504, options [nop,nop,TS val 1737449683 ecr 3834343590], length 71
1784283688.861123 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [P.], seq 2640:2693, ack 3513, win 678, options [nop,nop,TS val 3834343593 ecr 1737449683], length 53
1784283688.863043 IP 172.18.0.2.3306 > 172.18.0.3.38854: Flags [P.], seq 3513:3584, ack 2693, win 504, options [nop,nop,TS val 1737449686 ecr 3834343593], length 71
1784283688.903787 IP 172.18.0.3.38854 > 172.18.0.2.3306: Flags [.], ack 3584, win 678, options [nop,nop,TS val 3834343635 ecr 1737449686], length 0

