b|joinfetch|1500|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:48:11
b|byid|1500|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:51:53
b|inbatch|1500|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:55:34
b|inbatch-nodup|1500|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 20:59:17
b|batchfetch|1500|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:03:00
b|jdbc-join|1500|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:06:31
b|jdbc-inbatch|1500|20|-|N=20,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:10:12
b|lazy|1500|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:13:53
b|lazy-unbounded|1500|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:17:34
b|joinfetch|1500|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:21:17
b|byid|1500|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:25:00
b|inbatch|1500|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:28:44
b|inbatch-nodup|1500|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:32:26
b|batchfetch|1500|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:36:06
b|jdbc-join|1500|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:39:46
b|jdbc-inbatch|1500|20|-|N=100,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:43:21
b|lazy|1500|20|-|N=300,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:47:14
b|lazy-unbounded|1500|20|-|N=300,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:51:16
b|joinfetch|1500|20|-|N=300,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:54:58
b|byid|1500|20|-|N=300,MAX_MEMBER_ID=2000	DONE	2026-06-11 21:58:46
